timestamp,shadow_condition,match_id,round,agent1,agent2,agent1_move,agent2_move,agent1_total_score,agent2_total_score,agent1_reasoning,agent2_reasoning
2025-09-03T13:08:37.699244,0.75,SuspiciousTitForTat_p3i1_vs_SuspiciousTitForTat_p3i2,1,SuspiciousTitForTat_p3i1,SuspiciousTitForTat_p3i2,D,D,1,1,Starting with defection (suspicious).,Starting with defection (suspicious).
2025-09-03T13:08:37.699244,0.75,SuspiciousTitForTat_p3i1_vs_SuspiciousTitForTat_p3i3,1,SuspiciousTitForTat_p3i1,SuspiciousTitForTat_p3i3,D,D,2,2,Starting with defection (suspicious).,Starting with defection (suspicious).
2025-09-03T13:08:37.699244,0.75,SuspiciousTitForTat_p3i1_vs_SuspiciousTitForTat_p3i3,2,SuspiciousTitForTat_p3i1,SuspiciousTitForTat_p3i3,D,D,2,2,Copying opponent's last move (D).,Copying opponent's last move (D).
2025-09-03T13:08:37.699244,0.75,SuspiciousTitForTat_p3i1_vs_SuspiciousTitForTat_p3i4,1,SuspiciousTitForTat_p3i1,SuspiciousTitForTat_p3i4,D,D,1,1,Starting with defection (suspicious).,Starting with defection (suspicious).
2025-09-03T13:08:37.699244,0.75,SuspiciousTitForTat_p3i1_vs_Prober_p3i1,1,SuspiciousTitForTat_p3i1,Prober_p3i1,D,C,5,5,Starting with defection (suspicious).,Starting with cooperation.
2025-09-03T13:08:37.699244,0.75,SuspiciousTitForTat_p3i1_vs_Prober_p3i1,2,SuspiciousTitForTat_p3i1,Prober_p3i1,C,D,5,5,Copying opponent's last move (C).,Testing opponent with defection on second move.
2025-09-03T13:08:37.699244,0.75,SuspiciousTitForTat_p3i1_vs_Random_p3i1,1,SuspiciousTitForTat_p3i1,Random_p3i1,D,D,1,1,Starting with defection (suspicious).,
2025-09-03T13:08:37.699244,0.75,SuspiciousTitForTat_p3i1_vs_Random_p3i2,1,SuspiciousTitForTat_p3i1,Random_p3i2,D,D,1,1,Starting with defection (suspicious).,
2025-09-03T13:08:37.699244,0.75,SuspiciousTitForTat_p3i1_vs_Random_p3i3,1,SuspiciousTitForTat_p3i1,Random_p3i3,D,C,5,0,Starting with defection (suspicious).,
2025-09-03T13:08:37.699244,0.75,SuspiciousTitForTat_p3i1_vs_Alternator_p3i1,1,SuspiciousTitForTat_p3i1,Alternator_p3i1,D,C,5,0,Starting with defection (suspicious).,Alternating pattern: cooperate on even-numbered rounds.
2025-09-03T13:08:37.699244,0.75,SuspiciousTitForTat_p3i1_vs_ForgivingGrimTrigger_p3i1,1,SuspiciousTitForTat_p3i1,ForgivingGrimTrigger_p3i1,D,C,5,0,Starting with defection (suspicious).,
